1Amide,1Amine,2Amide,2Amine,3Amide,3Amine,Abraham AH,Abraham BH,Abraham L16,Abraham Pi,Abraham R2,Abraham Vx,Acid,Alcohol,Alkene,Amide,Amine,Anhydride,Anilines,Aromatic,Auto-Ignition,Avoidance,BP,CAS,Marker,Solvent Count,One (Hide),PP_X-Axis_CompField,PP_Y-Axis_CompField,FG_X-Axis_CompField,FG_Y-Axis_CompField,Hints and Tips,PCA2D_X-Axis_CompField,Hints,Carbonate,Chloro,Conformers TZVP-Fine,Conformers TZVP,DBIDRef TZVP-Fine,DBIDRef TZVP,Density,Dielectric,Dipole,ETN,Environmental Link,Environmental,Ester,Ether,Extension TZVP-Fine,Extension TZVP,ICH_X-Axis_CompField,VAP_X-Axis_CompField,Filename TZVP,Flammability Score,Flammability,Flash Point,Fluoro,Formula,General,Gutmann,Halogen,Hansen Disp,Hansen H-Bond,Hansen Polar,Health,Heat Capacity,Heteroaromatic Amines,Hildebrand,Hvap,Hydrocarbon,ICH Class,ICH Limit,ICH_Y-Axis_CompField,ID,Impact in Air,Impact in Water,In Ch I Key,In Ch I,Ketone/Aldehyde,LCA,MP,Miscibility,Mol. Wt.,Name,Nitrile,Nitro,Nitrogen Bases,Number of Records,Octant,Other,PC1,PC2,PC3,PC4,PC5,PCA2D_Y-Axis_CompField,PCA2D_mColor_CompField,Phosphorus Containing,Quadrant,Reactivity Literature,Reactivity,Refractive Index,Smiles,Silicone,Solubility of Water,Solvatochromic Alpha,Solvatochromic Beta,Solvatochromic Pi*,Static,Sulfide,Sulfite,Sulfone,Sulfoxide,Sulfur Containing,T-Rating,Urea,HEAT_X-Axis_CompField,VOC Potential,Vapour Pressure,Viscosity Score,Viscosity,log Pow
N,N,N,N,N,N,,,,,,1.028,N,N,N,N,N,N,N,N,,N,175.2,632-22-4,,Solvent Count,1,-6.42158,11.3027,-6.42158,11.3027,Hints and Tips,-6.42158,Hints and Tips,N,N,1,1,5,2,0.962,24.5,3.51,0.315,,,N,N,cosmo,cosmo,-6.42158,2,"1,1,3,3-Tetramethylurea",1,Class IIIA,75,N,C5H12N2O,,29.6,N,8.2,5.4,4,,,N,,,N,,,11.3027,2,,,AVQQQNCBBIEMEU-UHFFFAOYSA-N,InChI=1S/C5H12N2O/c1-6(2)5(8)7(3)4/h1-4H3,N,,-1.2,Y,116.162,"TMU [1,1,3,3-Tetramethylurea]",N,N,N,1,3,N,-6.42158,11.3027,-2.69706,-2.76249,-2.13088,11.3027,175.2,N,3,,,1.449,CN(C(=O)N(C)C)C,N,,0,0.8,0.83,,N,N,N,N,N,Not Assigned,Y,2,,,,,0.19
N,N,N,N,N,N,,,,,,1.061,N,N,N,N,N,N,N,N,,N,244.6,7226-23-5,,Solvent Count,1,-2.43265,4.88751,-2.43265,4.88751,Hints and Tips,-2.43265,Hints and Tips,N,N,1,1,5,2,1.056,,,,,,N,N,cosmo,cosmo,-2.43265,119,DMPU,1,Class IIIB,120,N,C6H12N2O,Skin sensitiser,,N,,,,,,N,,,N,,,4.88751,119,,,GUVUOGQBMYCBQP-UHFFFAOYSA-N,"InChI=1S/C6H12N2O/c1-7-4-3-5-8(2)6(7)9/h3-5H2,1-2H3",N,,-23,Y,128.172,"DMPU [1,3-dimethyltetrahydropyrimidin-2(1H)-one]",N,N,N,1,3,N,-2.43265,4.88751,-2.09733,1.46339,-1.0033,4.88751,244.6,N,3,,,1.489,O=C1N(C)CCCN1C,N,,,,,,N,N,N,N,N,Not Assigned,Y,119,,,,,
N,N,N,N,N,N,,,,,,0.92,N,N,N,N,N,N,N,N,300,N,225,80-73-9,,Solvent Count,1,-2.28264,3.8017,-2.28264,3.8017,Hints and Tips,-2.28264,Hints and Tips,N,N,1,1,5,2,1.058,,,0.36,,,N,N,cosmo,cosmo,-2.28264,120,DMI,1,Class IIIA,93,N,C5H10N2O,,,N,,,,,,N,,,N,,,3.8017,120,,,CYSGHNMQYZDMIA-UHFFFAOYSA-N,"InChI=1S/C5H10N2O/c1-6-3-4-7(2)5(6)8/h3-4H2,1-2H3",N,,8,Y,114.146,"DMI [1,3-dimethylimidazolidin-2-one]",N,N,N,1,3,N,-2.28264,3.8017,-2.0342,1.25428,-0.365918,3.8017,225,N,3,,,1.472,CN1CCN(C1=O)C,N,,,,,,N,N,N,N,N,T2,Y,120,,,,,
N,N,N,N,N,N,,,,,,0.786,N,N,N,N,N,N,N,N,,N,236,1600-44-8,,Solvent Count,1,-5.21401,4.90404,-5.21401,4.90404,Hints and Tips,-5.21401,Hints and Tips,N,N,1,1,5,2,1.168,42.8,4.17,,,,N,N,cosmo,cosmo,-5.21401,147,Tetrahydrothiophene_1-oxide,1,Class IIIB,112,N,C4H8OS,,,N,,,,,,N,,,N,,,4.90404,147,,,ISXOBTBCNRIIQO-UHFFFAOYSA-N,InChI=1S/C4H8OS/c5-6-3-1-2-4-6/h1-4H2,N,,,Y,104.171,Tetrahydrothiophene 1-oxide,N,N,N,1,3,N,-5.21401,4.90404,-2.97795,2.43274,-0.530404,4.90404,236,N,3,,,1.521,O=S1CCCC1,N,,0,0.8,,,N,N,N,Y,Y,Not Assigned,N,147,,,,,
N,N,N,N,N,N,0,0.88,3.46,1.74,0.52,0.613,N,N,N,N,N,N,N,N,215,N,189,67-68-5,3,Solvent Count,1,-7.15801,4.00531,-7.15801,4.00531,Hints and Tips,-7.15801,Hints and Tips,N,N,1,1,4,1,1.095,46.7,3.96,0.444,,,N,N,cosmo,cosmo,-7.15801,61,dimethylsulfoxide,1,Class IIIA,88,N,C2H6OS,High melting point,29.8,N,9,5,8,1,,N,13.1,700,N,3,5000,4.00531,61,1,1,IAZDPXIOMUYVGZ-UHFFFAOYSA-N,InChI=1S/C2H6OS/c1-4(2)3/h1-2H3,N,2,18.5,Y,78.133,DMSO [Dimethylsulfoxide],N,N,N,1,3,N,-7.15801,4.00531,-3.9992,2.58802,0.563683,4.00531,189,N,3,,Strong electrophiles can lead to formation of methylthiomethyl adducts,1.479,CS(=O)C,N,,0,0.76,1,1,N,N,N,Y,Y,T3,N,61,1,0.4,1,2.201,-1.35
N,N,N,N,N,N,,,,,,0.845,N,N,N,N,N,N,N,N,528,N,287.3,126-33-0,2,Solvent Count,1,-3.9622,2.33569,-3.9622,2.33569,Hints and Tips,-3.9622,Hints and Tips,N,N,1,1,5,2,1.264,42.1,4.68,0.41,,,N,N,cosmo,cosmo,-3.9622,103,Sulfolane,1,Class IIIB,173,N,C4H8O2S,,14.8,N,,,,1,1168,N,12.8,338,N,2,160,2.33569,103,1,2,HXJUTPCZVOIRIF-UHFFFAOYSA-N,InChI=1S/C4H8O2S/c5-7(6)3-1-2-4-7/h1-4H2,N,2,28.5,Y,120.17,Sulfolane,N,N,N,1,3,N,-3.9622,2.33569,-1.90485,3.56636,3.50714,2.33569,287.3,N,3,,,1.482,O=S1(=O)CCCC1,N,,0,,0.98,1,N,N,Y,N,Y,T1,N,103,1,0,2,12.004,-0.77
N,N,N,N,N,N,,,,,,0.621,N,N,N,N,N,N,N,N,,N,159,3741-38-6,,Solvent Count,1,-1.29881,-2.5432,-1.29881,-2.5432,Hints and Tips,-1.29881,Hints and Tips,N,N,1,1,5,2,1.429,,,,,,N,N,cosmo,cosmo,-1.29881,141,"1,3,2-Dioxathiolane-2-oxide",1,Class IIIA,91,N,C2H4O3S,,,N,,,,,,N,,,N,,,-2.5432,141,,,WDXYVJKNSMILOQ-UHFFFAOYSA-N,InChI=1S/C2H4O3S/c3-6-4-1-2-5-6/h1-2H2,N,,,N,108.116,"1,3,2-Dioxathiolane-2-oxide",N,N,N,1,1,N,-1.29881,-2.5432,-1.95029,2.94897,2.74482,-2.5432,159,N,1,,,,O=S1OCCO1,N,,,,,,N,Y,N,N,Y,Not Assigned,N,141,,,,,
N,N,N,N,N,N,,,,,,0.73,N,N,N,N,N,N,N,N,,N,126.5,616-42-2,,Solvent Count,1,-0.838404,-1.73469,-0.838404,-1.73469,Hints and Tips,-0.838404,Hints and Tips,N,N,3,3,5,2,1.207,21.9,2.84,,,,N,N,cosmo,cosmo,-0.838404,140,Dimethyl_sulfite,2,Class II,38,N,C2H6O3S,,,N,,,,,,N,,,N,,,-1.73469,140,,,BDUPRNVPXOHWIL-UHFFFAOYSA-N,InChI=1S/C2H6O3S/c1-4-6(3)5-2/h1-2H3,N,,,N,110.132,Dimethyl Sulfite,N,N,N,1,1,N,-0.838404,-1.73469,-2.16002,0.3466,1.7674,-1.73469,126.5,N,0,,,1.409,COS(=O)OC,N,,,,,,N,Y,N,N,Y,Not Assigned,N,140,,,,,
N,N,N,N,N,N,,,,,,0.727,N,N,N,N,N,N,N,N,200,N,119.2,110-01-0,,Solvent Count,1,0.977991,-2.72708,0.977991,-2.72708,Hints and Tips,0.977991,Hints and Tips,N,N,1,1,4,1,0.994,8.6,1.89,0.19,,,N,N,cosmo,cosmo,0.977991,199,tetrahydrothiophene,3,Class IB,18,N,C4H8S,,,N,,,,,1585,N,10,370,N,,,-2.72708,199,,,RAOIDOHSFRTOEL-UHFFFAOYSA-N,InChI=1S/C4H8S/c1-2-4-5-3-1/h1-4H2,N,,-96.2,N,88.171,Tetrahydrothiophene,N,N,N,1,2,N,0.977991,-2.72708,-2.69631,2.30842,-1.83147,-2.72708,119.2,N,2,,,1.529,c1cccs1,N,,,,,,Y,N,N,N,Y,T3,N,199,1,13.9,1,1.745,
N,N,N,N,N,N,,,,,,0.75,N,N,N,N,N,N,N,N,274,N,183,4/3/2029,,Solvent Count,1,1.96463,-1.62147,1.96463,-1.62147,Hints and Tips,1.96463,Hints and Tips,N,N,1,1,5,2,1.235,,,,,,N,N,cosmo,cosmo,1.96463,139,"1,3-Dithiolane",1,Class IIIA,68,N,C3H6S2,,,N,,,,,,N,,,N,,,-1.62147,139,,,IMLSAISZLJGWPP-UHFFFAOYSA-N,InChI=1S/C3H6S2/c1-2-5-3-4-1/h1-3H2,N,,,Not Determined,106.21,"1,3-Dithiolane",N,N,N,1,2,N,1.96463,-1.62147,-1.88487,5.26654,-1.18131,-1.62147,183,N,2,,,1.599,C1SCCS1,N,,,,,,Y,N,N,N,Y,T3,N,139,,,,,
N,N,N,N,N,N,,,,,,1.603,N,N,N,N,N,N,N,N,,N,194,141-62-8,,Solvent Count,1,14.593,5.71566,14.593,5.71566,Hints and Tips,14.593,Hints and Tips,N,N,4,4,5,2,0.854,,,,,,N,N,cosmo,cosmo,14.593,239,Decamethyltetrasiloxane,1,Class IIIA,62,N,C10H30O3Si4,,,N,,,,,,N,,,N,,,5.71566,239,,,YFCGDEUVHLPRCZ-UHFFFAOYSA-N,"InChI=1S/C10H30O3Si4/c1-14(2,3)11-16(7,8)13-17(9,10)12-15(4,5)6/h1-10H3",N,,-68,N,310.685,Decamethyltetrasiloxane [MD2M],N,N,N,1,8,N,14.593,5.71566,6.6462,-0.567117,0.952821,5.71566,194,N,4,,,1.389,C[Si](O[Si](C)(C)C)(O[Si](O[Si](C)(C)C)(C)C)C,Y,,,,,,N,N,N,N,N,Not Assigned,N,239,,,,,
N,N,N,N,N,N,,,,,,1.59,N,N,N,N,N,N,N,N,,N,370.8,541-02-6,,Solvent Count,1,15.681,8.59344,15.681,8.59344,Hints and Tips,15.681,Hints and Tips,N,N,3,3,5,2,0.95,,1.35,,,,N,N,cosmo,cosmo,15.681,241,Decamethylcyclopentasiloxane,1,Class IIIA,77,N,C10H30O5Si5,,,N,,,,,1812,N,5.9,,N,,,8.59344,241,,,XMSXQFUHVRWGNA-UHFFFAOYSA-N,"InChI=1S/C10H30O5Si5/c1-16(2)11-17(3,4)13-19(7,8)15-20(9,10)14-18(5,6)12-16/h1-10H3",N,,-38,N,370.77,Decamethylcyclopentasiloxane [D5],N,N,N,1,8,N,15.681,8.59344,7.9334,0.83998,2.07318,8.59344,370.8,N,4,,,1.398,C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](O[Si](O1)(C)C)(C)C,Y,,,,,,N,N,N,N,N,Not Assigned,N,241,1,0.2,1,4.213,
N,N,N,N,N,N,,,,,,1.272,N,N,N,N,N,N,N,N,,N,175,104986-37-0,,Solvent Count,1,12.1781,5.31867,12.1781,5.31867,Hints and Tips,12.1781,Hints and Tips,N,N,2,2,5,2,0.95,,0.66,,,,N,N,cosmo,cosmo,12.1781,240,Octamethylcyclotetrasiloxane,2,Class II,55,N,C8H24O4Si4,,,N,,,,,1815,N,6.3,107,N,,,5.31867,240,,,HMMGMWAXVFQUOA-UHFFFAOYSA-N,"InChI=1S/C8H24O4Si4/c1-13(2)9-14(3,4)11-16(7,8)12-15(5,6)10-13/h1-8H3",N,,17.7,N,296.616,Octamethylcyclotetrasiloxane [D4],N,N,N,1,8,N,12.1781,5.31867,5.12363,-0.402146,1.00867,5.31867,175,N,4,,,1.396,C[Si]1(C)O[Si](C)(C)O[Si](O[Si](O1)(C)C)(C)C,Y,,,,,,N,N,N,N,N,Not Assigned,N,240,,,1,2.442,5.1
